,date,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,usdprice
1095,2016-01-15,Zarqa,Qasabet Az_Zarqa District,Zarqa,32.060791015625,36.09428024291992,non-food,Fuel (petrol-gasoline),L,0.52,0.7323
1119,2016-02-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1120,2016-02-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,non-food,Fuel (kerosene),L,0.32,0.4506
1121,2016-02-15,Ajloun,Qasabet Ajloun District,Ajloun,32.32362747192383,35.71811294555664,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1122,2016-02-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857425,35.35102844238281,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1123,2016-02-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857425,35.35102844238281,non-food,Fuel (kerosene),L,0.32,0.4506
1124,2016-02-15,Al  Aqaba,Al_Qwaira District,Al Aqaba,29.809490203857425,35.35102844238281,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1125,2016-02-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1126,2016-02-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (kerosene),L,0.32,0.4506
1127,2016-02-15,Al Balqa,Qasabet As_Salt District,Al Balqa,32.0343017578125,35.701148986816406,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1128,2016-02-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1129,2016-02-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,non-food,Fuel (kerosene),L,0.32,0.4506
1130,2016-02-15,Al Karak,Qasabet Al_Karak District,Al Karak,31.155506134033203,35.79879379272461,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1131,2016-02-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1132,2016-02-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,non-food,Fuel (kerosene),L,0.32,0.4506
1133,2016-02-15,Al Mafraq,Qasabet Al-Mafraq District,Al Mafraq,32.341670989990234,36.20199966430664,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1134,2016-02-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1135,2016-02-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,non-food,Fuel (kerosene),L,0.32,0.4506
1136,2016-02-15,Al Tafilah,Qasabet At_Tafilah District,Al Tafilah,30.79115104675293,35.69189453125,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1137,2016-02-15,Amman,Al_Qwaismeh District,Amman,31.91332054138184,35.96791076660156,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1138,2016-02-15,Amman,Al_Qwaismeh District,Amman,31.91332054138184,35.96791076660156,non-food,Fuel (kerosene),L,0.32,0.4506
1139,2016-02-15,Amman,Al_Qwaismeh District,Amman,31.91332054138184,35.96791076660156,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1140,2016-02-15,Irbid,Qasabet Irbid District,Irbid,32.546085357666016,35.80170440673828,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1141,2016-02-15,Irbid,Qasabet Irbid District,Irbid,32.546085357666016,35.80170440673828,non-food,Fuel (kerosene),L,0.32,0.4506
1142,2016-02-15,Irbid,Qasabet Irbid District,Irbid,32.546085357666016,35.80170440673828,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1143,2016-02-15,Jarash,Qasabet Jerash District,Jarash,32.261898040771484,35.8680534362793,non-food,Fuel (gas),12.5 KG,7.0,9.8578
1144,2016-02-15,Jarash,Qasabet Jerash District,Jarash,32.261898040771484,35.8680534362793,non-food,Fuel (kerosene),L,0.32,0.4506
1145,2016-02-15,Jarash,Qasabet Jerash District,Jarash,32.261898040771484,35.8680534362793,non-food,Fuel (petrol-gasoline),L,0.49,0.6971
1146,2016-02-15,Maan,Ma'an District,Maan,30.3544979095459,36.56766891479492,non-food,Fuel (gas),12.5 KG,7.0,9.8578
